filename, language, Python, YAML, XML, jupyter, comment, blank, total
__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
classification/__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
classification/app.py, Python, 28, 0, 0, 0, 2, 6, 36
classification/core/__init__.py, Python, 12, 0, 0, 0, 0, 0, 12
classification/core/classifier_input.py, Python, 73, 0, 0, 0, 3, 18, 94
classification/core/classifier_lab.py, Python, 74, 0, 0, 0, 2, 25, 101
classification/core/cnn_lab.py, Python, 59, 0, 0, 0, 5, 7, 71
classification/core/embeddings_tokenizer.py, Python, 31, 0, 0, 0, 0, 15, 46
classification/core/labeled_comments.py, Python, 19, 0, 0, 0, 0, 9, 28
classification/core/labeled_comments_dao.py, Python, 10, 0, 0, 0, 2, 6, 18
classification/core/metrics.py, Python, 38, 0, 0, 0, 4, 11, 53
classification/core/metrics_keras_callback.py, Python, 39, 0, 0, 0, 0, 7, 46
classification/core/model_dao.py, Python, 16, 0, 0, 0, 0, 5, 21
classification/core/predictor.py, Python, 0, 0, 0, 0, 0, 1, 1
classification/core/sentence_cleaner.py, Python, 5, 0, 0, 0, 0, 4, 9
classification/core/svm_lab.py, Python, 32, 0, 0, 0, 1, 7, 40
classification/core/weights_dao.py, Python, 0, 0, 0, 0, 0, 1, 1
classification/core/wordvectors.py, Python, 18, 0, 0, 0, 0, 7, 25
classification/core/wordvectors_rep.py, Python, 8, 0, 0, 0, 0, 5, 13
classification/infrastructure/__init__.py, Python, 5, 0, 0, 0, 0, 0, 5
classification/infrastructure/basic_sentence_cleaner.py, Python, 9, 0, 0, 0, 0, 5, 14
classification/infrastructure/file_labeled_comments_dao.py, Python, 27, 0, 0, 0, 0, 6, 33
classification/infrastructure/file_model_dao.py, Python, 27, 0, 0, 0, 0, 7, 34
classification/infrastructure/file_wordvectors_rep.py, Python, 19, 0, 0, 0, 0, 7, 26
classification/infrastructure/intertass_xml_parser.py, Python, 18, 0, 0, 0, 0, 4, 22
classification/infrastructure/tests/__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
classification/infrastructure/tests/test_file_labeled_comments_dao.py, Python, 20, 0, 0, 0, 7, 7, 34
classification/ui/CNN Training & Validation Report.ipynb, jupyter, 0, 0, 0, 13321, 0, 1, 13322
classification/ui/SVM Training & Validation Report.ipynb, jupyter, 0, 0, 0, 12721, 0, 1, 12722
classification/ui/__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
classification/ui/utils.py, Python, 39, 0, 0, 0, 1, 5, 45
common/__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
common/fileutils.py, Python, 38, 0, 0, 0, 0, 11, 49
common/logging.py, Python, 41, 0, 0, 0, 0, 17, 58
config.py, Python, 24, 0, 0, 0, 6, 26, 56
config.test.yml, YAML, 0, 9, 0, 0, 0, 0, 9
config.yml, YAML, 0, 9, 0, 0, 0, 0, 9
data_test/classification/test_0.xml, XML, 0, 0, 33, 0, 0, 1, 34
data_test/classification/test_1.xml, XML, 0, 0, 203, 0, 0, 1, 204
preprocessing/__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
preprocessing/app.py, Python, 76, 0, 0, 0, 0, 25, 101
preprocessing/cleaning/__init__.py, Python, 18, 0, 0, 0, 0, 1, 19
preprocessing/cleaning/capitalizationcleaner.py, Python, 4, 0, 0, 0, 0, 4, 8
preprocessing/cleaning/characterencodingcleaner.py, Python, 7, 0, 0, 0, 1, 4, 12
preprocessing/cleaning/cleaner.py, Python, 6, 0, 0, 0, 0, 3, 9
preprocessing/cleaning/cleanersbuilder.py, Python, 87, 0, 0, 0, 0, 21, 108
preprocessing/cleaning/cleaningtask.py, Python, 50, 0, 0, 0, 0, 7, 57
preprocessing/cleaning/diacriticcleaner.py, Python, 5, 0, 0, 0, 0, 4, 9
preprocessing/cleaning/emoticoncleaner.py, Python, 18, 0, 0, 0, 0, 7, 25
preprocessing/cleaning/escapecleaner.py, Python, 8, 0, 0, 0, 0, 5, 13
preprocessing/cleaning/hashtagcleaner.py, Python, 8, 0, 0, 0, 0, 5, 13
preprocessing/cleaning/htmlcleaner.py, Python, 13, 0, 0, 0, 0, 6, 19
preprocessing/cleaning/lemmatizationcleaner.py, Python, 11, 0, 0, 0, 0, 5, 16
preprocessing/cleaning/mentioncleaner.py, Python, 8, 0, 0, 0, 0, 5, 13
preprocessing/cleaning/numericcleaner.py, Python, 9, 0, 0, 0, 0, 4, 13
preprocessing/cleaning/punctuationcleaner.py, Python, 9, 0, 0, 0, 0, 5, 14
preprocessing/cleaning/stopwordscleaner.py, Python, 14, 0, 0, 0, 1, 6, 21
preprocessing/cleaning/tests/__init__.py, Python, 1, 0, 0, 0, 0, 0, 1
preprocessing/cleaning/tests/test_capitalizationcleaner.py, Python, 7, 0, 0, 0, 0, 2, 9
preprocessing/cleaning/tests/test_characterencodingcleaner.py, Python, 7, 0, 0, 0, 0, 2, 9
preprocessing/cleaning/tests/test_cleaningtaskbuilder.py, Python, 22, 0, 0, 0, 0, 5, 27
preprocessing/cleaning/tests/test_diacriticcleaner.py, Python, 11, 0, 0, 0, 0, 7, 18
preprocessing/cleaning/tests/test_emoticoncleaner.py, Python, 17, 0, 0, 0, 0, 7, 24
preprocessing/cleaning/tests/test_escapecleaner.py, Python, 10, 0, 0, 0, 0, 3, 13
preprocessing/cleaning/tests/test_hashtagcleaner.py, Python, 7, 0, 0, 0, 0, 3, 10
preprocessing/cleaning/tests/test_htmlcleaner.py, Python, 11, 0, 0, 0, 0, 7, 18
preprocessing/cleaning/tests/test_lemmatizationcleaner.py, Python, 10, 0, 0, 0, 0, 3, 13
preprocessing/cleaning/tests/test_mentioncleaner.py, Python, 13, 0, 0, 0, 0, 5, 18
preprocessing/cleaning/tests/test_numericcleaner.py, Python, 11, 0, 0, 0, 0, 3, 14
preprocessing/cleaning/tests/test_punctuationcleaner.py, Python, 10, 0, 0, 0, 0, 3, 13
preprocessing/cleaning/tests/test_stopwords.py, Python, 16, 0, 0, 0, 0, 5, 21
preprocessing/cleaning/tests/test_twittercorpuscleaner.py, Python, 7, 0, 0, 0, 0, 3, 10
preprocessing/cleaning/tests/test_urlcleaner.py, Python, 7, 0, 0, 0, 0, 2, 9
preprocessing/cleaning/tests/test_wordlengtheningcleaner.py, Python, 22, 0, 0, 0, 1, 5, 28
preprocessing/cleaning/twittercorpuscleaner.py, Python, 9, 0, 0, 0, 1, 5, 15
preprocessing/cleaning/urlcleaner.py, Python, 9, 0, 0, 0, 0, 5, 14
preprocessing/cleaning/wordlengtheningcleaner.py, Python, 11, 0, 0, 0, 1, 5, 17
preprocessing/core/__init__.py, Python, 2, 0, 0, 0, 0, 0, 2
preprocessing/core/corpus.py, Python, 10, 0, 0, 0, 0, 6, 16
preprocessing/core/corpus_rep.py, Python, 13, 0, 0, 0, 0, 6, 19
preprocessing/infrastructure/__init__.py, Python, 4, 0, 0, 0, 0, 1, 5
preprocessing/infrastructure/emoticon_rep.py, Python, 16, 0, 0, 0, 0, 7, 23
preprocessing/infrastructure/file_corpus_rep.py, Python, 21, 0, 0, 0, 0, 7, 28
preprocessing/infrastructure/stopwords_rep.py, Python, 14, 0, 0, 0, 1, 6, 21
preprocessing/infrastructure/tests/__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
preprocessing/infrastructure/tests/emoticonrep_stub.py, Python, 10, 0, 0, 0, 0, 3, 13
preprocessing/infrastructure/tests/stopswordsrep_stub.py, Python, 8, 0, 0, 0, 0, 3, 11
preprocessing/infrastructure/tests/test_emoticonrep.py, Python, 11, 0, 0, 0, 0, 7, 18
preprocessing/infrastructure/tests/test_file_corpus_rep.py, Python, 25, 0, 0, 0, 0, 13, 38
preprocessing/ui/__init__.py, Python, 0, 0, 0, 0, 0, 1, 1
preprocessing/ui/preprocessing.ipynb, jupyter, 0, 0, 0, 140, 0, 1, 141
wordvectors/__initi__.py, Python, 0, 0, 0, 0, 0, 1, 1
wordvectors/app.py, Python, 11, 0, 0, 0, 0, 9, 20
wordvectors/core/__init__.py, Python, 5, 0, 0, 0, 0, 0, 5
wordvectors/core/corpus.py, Python, 10, 0, 0, 0, 0, 6, 16
wordvectors/core/corpus_rep.py, Python, 10, 0, 0, 0, 0, 5, 15
wordvectors/core/embeddingsmachine.py, Python, 24, 0, 0, 0, 0, 22, 46
wordvectors/core/keyedvectors_rep.py, Python, 13, 0, 0, 0, 0, 6, 19
wordvectors/core/vectorizer.py, Python, 47, 0, 0, 0, 0, 14, 61
wordvectors/core/word2vec_rep.py, Python, 13, 0, 0, 0, 0, 6, 19
wordvectors/infrastructure/__init__.py, Python, 3, 0, 0, 0, 0, 0, 3
wordvectors/infrastructure/file_corpus_rep.py, Python, 19, 0, 0, 0, 0, 10, 29
wordvectors/infrastructure/file_keyedvectors_rep.py, Python, 24, 0, 0, 0, 0, 9, 33
wordvectors/infrastructure/file_word2vec_rep.py, Python, 23, 0, 0, 0, 0, 8, 31
wordvectors/ui/__init__.py, Python, 1, 0, 0, 0, 0, 0, 1
wordvectors/ui/statisticsreporter.py, Python, 95, 0, 0, 0, 1, 13, 109
wordvectors/ui/vectorization-facebook.ipynb, jupyter, 0, 0, 0, 3439, 0, 1, 3440
wordvectors/ui/vectorization-spanish_billion_word.ipynb, jupyter, 0, 0, 0, 3427, 0, 1, 3428
wordvectors/ui/vectorization-twitter.ipynb, jupyter, 0, 0, 0, 3426, 0, 1, 3427
Total, -, 1730, 18, 236, 36474, 40, 610, 39108